Date,Open,High,Low,Close,Volume,Adj Close
2015-08-25,7.52693,7.52693,7.52693,7.52693,000,7.52693
2015-08-24,7.64874,7.64874,7.64874,7.64874,000,7.64874
2015-08-21,7.76031,7.76031,7.76031,7.76031,000,7.76031
2015-08-20,7.81526,7.81526,7.81526,7.81526,000,7.81526
2015-08-19,7.85607,7.85607,7.85607,7.85607,000,7.85607
2015-08-18,7.88099,7.88099,7.88099,7.88099,000,7.88099
2015-08-17,7.85345,7.85345,7.85345,7.85345,000,7.85345
2015-08-14,7.86491,7.86491,7.86491,7.86491,000,7.86491
2015-08-13,7.90331,7.90331,7.90331,7.90331,000,7.90331
2015-08-12,7.96592,7.96592,7.96592,7.96592,000,7.96592
2015-08-11,8.08116,8.08116,8.08116,8.08116,000,8.08116
2015-08-10,8.02185,8.02185,8.02185,8.02185,000,8.02185
2015-08-07,8.03487,8.03487,8.03487,8.03487,000,8.03487
2015-08-06,8.04102,8.04102,8.04102,8.04102,000,8.04102
2015-08-04,8.02968,8.02968,8.02968,8.02968,000,8.02968
2015-08-03,8.0333,8.0333,8.0333,8.0333,000,8.0333
2015-07-31,7.95369,7.95369,7.95369,7.95369,000,7.95369
2015-07-30,7.94894,7.94894,7.94894,7.94894,000,7.94894
2015-07-29,7.90393,7.90393,7.90393,7.90393,000,7.90393
2015-07-28,7.85179,7.85179,7.85179,7.85179,000,7.85179
2015-07-27,7.91428,7.91428,7.91428,7.91428,000,7.91428
2015-07-24,7.98486,7.98486,7.98486,7.98486,000,7.98486
2015-07-23,7.99447,7.99447,7.99447,7.99447,000,7.99447
2015-07-22,8.10108,8.10108,8.10108,8.10108,000,8.10108
2015-07-21,8.10794,8.10794,8.10794,8.10794,000,8.10794
2015-07-20,8.0668,8.0668,8.0668,8.0668,000,8.0668
2015-07-17,8.05647,8.05647,8.05647,8.05647,000,8.05647
2015-07-16,8.0247,8.0247,8.0247,8.0247,000,8.0247
2015-07-15,8.04075,8.04075,8.04075,8.04075,000,8.04075
2015-07-14,8.01692,8.01692,8.01692,8.01692,000,8.01692
2015-07-13,8.00833,8.00833,8.00833,8.00833,000,8.00833
2015-07-10,7.98008,7.98008,7.98008,7.98008,000,7.98008
2015-07-09,7.95305,7.95305,7.95305,7.95305,000,7.95305
2015-07-08,8.02958,8.02958,8.02958,8.02958,000,8.02958
2015-07-07,7.98954,7.98954,7.98954,7.98954,000,7.98954
2015-07-06,8.03141,8.03141,8.03141,8.03141,000,8.03141
2015-07-03,8.04813,8.04813,8.04813,8.04813,000,8.04813
2015-07-02,8.01089,8.01089,8.01089,8.01089,000,8.01089
2015-07-01,8.06094,8.06094,8.06094,8.06094,000,8.06094
2015-06-30,8.03124,8.03124,8.03124,8.03124,000,8.03124
2015-06-29,8.13448,8.13448,8.13448,8.13448,000,8.13448
2015-06-26,8.09734,8.09734,8.09734,8.09734,000,8.09734
2015-06-25,8.1052,8.1052,8.1052,8.1052,000,8.1052
2015-06-24,8.09928,8.09928,8.09928,8.09928,000,8.09928
2015-06-23,8.08306,8.08306,8.08306,8.08306,000,8.08306
2015-06-22,8.06924,8.06924,8.06924,8.06924,000,8.06924
